,Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
61,31-MAR-2023,13.6275,13.6275,12.0725,12.935,13.6275,-0.69,-5.08
62,03-APR-2023,12.935,13.49,12.465,12.585,12.935,-0.35,-2.71
63,05-APR-2023,12.585,12.805,12.0525,12.4125,12.585,-0.17,-1.37
64,06-APR-2023,12.4125,12.57,11.65,11.7975,12.4125,-0.62,-4.95
65,10-APR-2023,11.7975,12.5625,11.7975,12.2725,11.7975,0.48,4.03
66,11-APR-2023,12.2725,12.2725,11.665,11.975,12.2725,-0.3,-2.42
67,12-APR-2023,11.975,12.395,11.975,12.2725,11.975,0.3,2.48
68,13-APR-2023,12.2725,12.51,11.84,11.9075,12.2725,-0.37,-2.97
69,17-APR-2023,11.9075,13.2725,11.9075,12.265,11.9075,0.36,3.0
70,18-APR-2023,12.265,12.525,11.8625,12.075,12.265,-0.19,-1.55
71,19-APR-2023,12.075,12.47,11.1075,12.1525,12.075,0.08,0.64
72,20-APR-2023,12.1525,12.3975,11.58,11.94,12.1525,-0.21,-1.75
73,21-APR-2023,11.94,12.04,11.52,11.63,11.94,-0.31,-2.6
74,24-APR-2023,11.63,12.205,11.58,11.6675,11.63,0.04,0.32
75,25-APR-2023,11.6675,11.8125,11.425,11.52,11.6675,-0.15,-1.26
76,26-APR-2023,11.52,11.8975,11.2975,11.6525,11.52,0.13,1.15
77,27-APR-2023,11.6525,12.02,10.96,11.425,11.6525,-0.23,-1.95
78,28-APR-2023,11.425,11.5425,10.7875,10.9475,11.425,-0.48,-4.18
79,02-MAY-2023,10.9475,12.0625,10.9475,11.8975,10.9475,0.95,8.68
80,03-MAY-2023,11.8975,12.25,11.13,11.84,11.8975,-0.06,-0.48
81,04-MAY-2023,11.84,12.03,11.185,11.7325,11.84,-0.11,-0.91
82,05-MAY-2023,11.7325,12.375,11.53,12.295,11.7325,0.56,4.79
83,08-MAY-2023,12.295,12.91,11.7225,12.635,12.295,0.34,2.77
84,09-MAY-2023,12.635,12.815,11.6575,12.6775,12.635,0.04,0.34
85,10-MAY-2023,12.6775,13.2975,11.5425,13.0825,12.6775,0.41,3.19
86,11-MAY-2023,13.0825,13.74,12.815,13.215,13.0825,0.13,1.01
87,12-MAY-2023,13.215,13.51,12.7375,12.8525,13.215,-0.36,-2.74
88,15-MAY-2023,12.8525,13.615,12.5375,13.1725,12.8525,0.32,2.49
89,16-MAY-2023,13.1725,13.485,11.71,13.2925,13.1725,0.12,0.91
90,17-MAY-2023,13.2925,13.58,11.895,13.105,13.2925,-0.19,-1.41
91,18-MAY-2023,13.105,13.105,11.1375,12.795,13.105,-0.31,-2.37
92,19-MAY-2023,12.795,12.82,11.6875,12.3025,12.795,-0.49,-3.85
93,22-MAY-2023,12.3025,12.82,11.555,12.57,12.3025,0.27,2.17
94,23-MAY-2023,12.57,13.075,12.3175,12.605,12.57,0.04,0.28
95,24-MAY-2023,12.605,13.4375,12.41,13.1125,12.605,0.51,4.03
96,25-MAY-2023,13.1125,13.1325,8.1825,12.52,13.1125,-0.59,-4.52
97,26-MAY-2023,12.52,12.8575,11.7,11.9,12.52,-0.62,-4.95
98,29-MAY-2023,11.9,12.4925,8.8075,12.2975,11.9,0.4,3.34
99,30-MAY-2023,12.2975,12.38,11.7675,12.01,12.2975,-0.29,-2.34
100,31-MAY-2023,12.01,12.4675,11.58,11.9725,12.01,-0.04,-0.31
101,01-JUN-2023,11.9725,11.9725,11.22,11.5975,11.9725,-0.38,-3.13
102,02-JUN-2023,11.5975,11.735,10.86,11.125,11.5975,-0.47,-4.07
103,05-JUN-2023,11.125,11.335,10.3225,11.1375,11.125,0.01,0.11
104,06-JUN-2023,11.1375,11.6175,10.465,11.38,11.1375,0.24,2.18
105,07-JUN-2023,11.38,11.5375,9.6375,11.4425,11.38,0.06,0.55
106,08-JUN-2023,11.4425,11.5675,10.13,11.2575,11.4425,-0.19,-1.62
107,09-JUN-2023,11.2575,11.2975,10.3075,11.12,11.2575,-0.14,-1.22
108,12-JUN-2023,11.12,11.8025,10.5825,11.245,11.12,0.13,1.12
109,13-JUN-2023,11.245,11.25,9.99,11.11,11.245,-0.14,-1.2
110,14-JUN-2023,11.11,11.3675,10.6325,11.1625,11.11,0.05,0.47
111,15-JUN-2023,11.1625,11.37,9.6925,11.08,11.1625,-0.08,-0.74
112,16-JUN-2023,11.08,11.08,10.5575,10.84,11.08,-0.24,-2.17
113,19-JUN-2023,10.84,11.4975,10.33,11.225,10.84,0.39,3.55
114,20-JUN-2023,11.225,11.4375,10.5675,11.1325,11.225,-0.09,-0.82
115,21-JUN-2023,11.1325,11.4325,10.77,11.2925,11.1325,0.16,1.44
116,22-JUN-2023,11.2925,11.7125,10.6925,11.5475,11.2925,0.26,2.26
117,23-JUN-2023,11.5475,11.8375,11.1425,11.235,11.5475,-0.31,-2.71
118,26-JUN-2023,11.235,11.925,11.235,11.395,11.235,0.16,1.42
119,27-JUN-2023,11.395,11.4225,10.6925,10.7775,11.395,-0.62,-5.42
120,28-JUN-2023,10.7775,11.535,10.6525,10.8875,10.7775,0.11,1.02
121,30-JUN-2023,10.8875,11.215,10.07,10.8,10.8875,-0.09,-0.8
122,03-JUL-2023,10.8,12.03,10.8,11.54,10.8,0.74,6.85
123,04-JUL-2023,11.54,11.99,11.5225,11.7,11.54,0.16,1.39
124,05-JUL-2023,11.7,12.21,11.5675,11.8825,11.7,0.18,1.56
125,06-JUL-2023,11.8825,12.205,11.7775,11.84,11.8825,-0.04,-0.36
126,07-JUL-2023,11.84,12.0725,11.08,11.5325,11.84,-0.31,-2.6
127,10-JUL-2023,11.5325,12.01,11.36,11.4625,11.5325,-0.07,-0.61
128,11-JUL-2023,11.4625,11.4625,10.945,11.0125,11.4625,-0.45,-3.93
129,12-JUL-2023,11.0125,11.2,10.72,10.935,11.0125,-0.08,-0.7
130,13-JUL-2023,10.935,11.1725,10.695,10.9375,10.935,0.0,0.02
131,14-JUL-2023,10.9375,10.9375,10.6125,10.6825,10.9375,-0.26,-2.33
132,17-JUL-2023,10.6825,11.3975,9.8575,11.315,10.6825,0.63,5.92
133,18-JUL-2023,11.315,12.02,11.0675,11.71,11.315,0.4,3.49
134,19-JUL-2023,11.71,11.9375,11.54,11.6,11.71,-0.11,-0.94
135,20-JUL-2023,11.6,12.255,11.37,11.785,11.6,0.19,1.59
136,21-JUL-2023,11.785,12.0325,11.06,11.485,11.785,-0.3,-2.55
137,24-JUL-2023,11.485,11.995,10.5375,11.6525,11.485,0.17,1.46
138,25-JUL-2023,11.6525,11.6525,10.1125,10.2425,11.6525,-1.41,-12.1
139,26-JUL-2023,10.2425,10.8625,10.2175,10.4575,10.2425,0.22,2.1
140,27-JUL-2023,10.4575,10.9825,9.8875,10.5125,10.4575,0.06,0.53
141,28-JUL-2023,10.5125,10.81,10.035,10.135,10.5125,-0.38,-3.59
142,31-JUL-2023,10.135,11.1875,10.135,10.4125,10.135,0.28,2.74
143,01-AUG-2023,10.4125,10.7025,10.195,10.2825,10.4125,-0.13,-1.25
144,02-AUG-2023,10.2825,11.805,9.95,11.2775,10.2825,1.0,9.68
145,03-AUG-2023,11.2775,11.96,10.9825,11.185,11.2775,-0.09,-0.82
146,04-AUG-2023,11.185,11.185,10.4825,10.5725,11.185,-0.61,-5.48
147,07-AUG-2023,10.5725,11.4175,10.4025,11.1025,10.5725,0.53,5.01
148,08-AUG-2023,11.1025,11.53,11.1025,11.325,11.1025,0.22,2.0
149,09-AUG-2023,11.325,11.765,10.485,11.14,11.325,-0.19,-1.63
150,10-AUG-2023,11.14,11.91,10.6275,11.4,11.14,0.26,2.33
151,11-AUG-2023,11.4,11.865,11.355,11.5225,11.4,0.12,1.07
152,14-AUG-2023,11.5225,12.755,10.4775,11.995,11.5225,0.47,4.1
153,16-AUG-2023,11.995,12.6825,11.995,12.125,11.995,0.13,1.08
154,17-AUG-2023,12.125,12.665,12.1125,12.24,12.125,0.12,0.95
155,18-AUG-2023,12.24,12.4925,10.7875,12.1425,12.24,-0.1,-0.8
156,21-AUG-2023,12.1425,12.59,11.1725,11.96,12.1425,-0.18,-1.5
157,22-AUG-2023,11.96,12.085,11.59,11.7475,11.96,-0.21,-1.78
158,23-AUG-2023,11.7475,11.885,10.3075,11.7275,11.7475,-0.02,-0.17
159,24-AUG-2023,11.7275,12.235,10.1975,11.7,11.7275,-0.03,-0.23
160,25-AUG-2023,11.7,12.2425,9.98,12.0825,11.7,0.38,3.27
161,28-AUG-2023,12.0825,12.72,9.5,12.3975,12.0825,0.32,2.61
162,29-AUG-2023,12.3975,12.4625,10.6475,12.225,12.3975,-0.17,-1.39
163,30-AUG-2023,12.225,12.2425,11.4625,11.8,12.225,-0.43,-3.48
164,31-AUG-2023,11.8,12.28,11.76,12.0625,11.8,0.26,2.22
165,01-SEP-2023,12.0625,12.18,10.4075,11.365,12.0625,-0.7,-5.78
166,04-SEP-2023,11.365,11.5425,10.86,10.9625,11.365,-0.4,-3.54
167,05-SEP-2023,10.9625,11.085,9.365,10.815,10.9625,-0.15,-1.35
168,06-SEP-2023,10.815,10.975,9.805,10.6775,10.815,-0.14,-1.27
169,07-SEP-2023,10.6775,11.025,9.8,10.8725,10.6775,0.2,1.83
170,08-SEP-2023,10.8725,10.97,10.0775,10.78,10.8725,-0.09,-0.85
171,11-SEP-2023,10.78,11.5,10.3375,11.3475,10.78,0.57,5.26
172,12-SEP-2023,11.3475,12.0225,10.7125,11.69,11.3475,0.34,3.02
173,13-SEP-2023,11.69,12.0475,11.535,11.8275,11.69,0.14,1.18
174,14-SEP-2023,11.8275,12.0425,11.21,11.3175,11.8275,-0.51,-4.31
175,15-SEP-2023,11.3175,11.32,10.0725,10.9025,11.3175,-0.42,-3.67
176,18-SEP-2023,10.9025,11.4075,10.45,10.835,10.9025,-0.07,-0.62
177,20-SEP-2023,10.835,11.47,10.835,11.1275,10.835,0.29,2.7
178,21-SEP-2023,11.1275,11.39,10.62,10.8175,11.1275,-0.31,-2.79
179,22-SEP-2023,10.8175,11.0725,10.3925,10.66,10.8175,-0.16,-1.46
180,25-SEP-2023,10.66,11.305,10.2725,10.9,10.66,0.24,2.25
181,26-SEP-2023,10.9,11.29,9.2475,11.185,10.9,0.29,2.61
182,27-SEP-2023,11.185,11.8225,9.39,11.585,11.185,0.4,3.58
183,28-SEP-2023,11.585,13.0225,9.3975,12.8225,11.585,1.24,10.68
184,29-SEP-2023,12.8225,12.8225,11.3075,11.4525,12.8225,-1.37,-10.68
185,03-OCT-2023,11.4525,12.4075,10.775,11.7875,11.4525,0.34,2.93
186,04-OCT-2023,11.7875,12.22,11.115,11.655,11.7875,-0.13,-1.12
187,05-OCT-2023,11.655,11.655,10.8425,10.94,11.655,-0.72,-6.13
188,06-OCT-2023,10.94,10.94,9.73,10.3,10.94,-0.64,-5.85
189,09-OCT-2023,10.3,11.6325,10.12,11.4,10.3,1.1,10.68
190,10-OCT-2023,11.4,11.4,10.855,11.27,11.4,-0.13,-1.14
191,11-OCT-2023,11.27,11.3225,10.39,10.985,11.27,-0.29,-2.53
192,12-OCT-2023,10.985,11.1175,10.565,10.6175,10.985,-0.37,-3.35
193,13-OCT-2023,10.6175,11.025,10.4025,10.6175,10.6175,0.0,0.0
194,16-OCT-2023,10.6175,11.1525,9.1525,11.07,10.6175,0.45,4.26
195,17-OCT-2023,11.07,11.07,10.4275,10.695,11.07,-0.38,-3.39
196,18-OCT-2023,10.695,11.17,10.485,10.965,10.695,0.27,2.52
197,19-OCT-2023,10.965,11.2125,10.0475,10.8975,10.965,-0.07,-0.62
198,20-OCT-2023,10.8975,11.09,10.075,10.8175,10.8975,-0.08,-0.73
199,23-OCT-2023,10.8175,11.3575,8.825,10.905,10.8175,0.09,0.81
200,25-OCT-2023,10.905,12.1775,9.965,11.3125,10.905,0.41,3.74
201,26-OCT-2023,11.3125,12.7,11.3125,11.73,11.3125,0.42,3.69
202,27-OCT-2023,11.73,12.305,10.6725,10.905,11.73,-0.83,-7.03
203,30-OCT-2023,10.905,12.1925,10.905,11.49,10.905,0.59,5.36
204,31-OCT-2023,11.49,12.285,11.2625,11.825,11.49,0.34,2.92
205,01-NOV-2023,11.825,12.195,11.825,12.0475,11.825,0.22,1.88
206,02-NOV-2023,12.0475,12.0475,10.9475,11.075,12.0475,-0.97,-8.07
207,03-NOV-2023,11.075,11.075,10.635,10.8825,11.075,-0.19,-1.74
208,06-NOV-2023,10.8825,11.28,10.38,11.105,10.8825,0.22,2.04
209,07-NOV-2023,11.105,12.1775,11.0,11.1925,11.105,0.09,0.79
210,08-NOV-2023,11.1925,11.3325,10.63,11.0375,11.1925,-0.16,-1.38
211,09-NOV-2023,11.0375,11.2525,10.37,10.9825,11.0375,-0.06,-0.5
212,10-NOV-2023,10.9825,11.3575,9.86,11.1075,10.9825,0.13,1.14
213,12-NOV-2023,11.1075,11.54,9.7525,11.3475,11.1075,0.24,2.16
214,13-NOV-2023,11.3475,11.6325,10.5025,11.1875,11.3475,-0.16,-1.41
215,15-NOV-2023,11.1875,11.4175,8.395,11.135,11.1875,-0.05,-0.47
216,16-NOV-2023,11.135,11.8075,10.6175,11.6475,11.135,0.51,4.6
217,17-NOV-2023,11.6475,12.09,10.19,11.8275,11.6475,0.18,1.55
218,20-NOV-2023,11.8275,12.67,11.2,12.1475,11.8275,0.32,2.71
219,21-NOV-2023,12.1475,12.435,10.755,12.2325,12.1475,0.09,0.7
220,22-NOV-2023,12.2325,12.7075,11.0225,11.865,12.2325,-0.37,-3.0
221,23-NOV-2023,11.865,12.14,10.975,11.315,11.865,-0.55,-4.64
222,24-NOV-2023,11.315,11.465,8.6775,11.33,11.315,0.02,0.13
223,28-NOV-2023,11.33,12.4925,11.065,12.175,11.33,0.85,7.46
224,29-NOV-2023,12.175,14.46,11.3325,12.7075,12.175,0.53,4.37
225,30-NOV-2023,12.7075,13.3525,11.7625,12.69,12.7075,-0.02,-0.14
226,01-DEC-2023,12.69,12.755,11.7775,12.3825,12.69,-0.31,-2.42
227,04-DEC-2023,12.3825,13.16,11.34,12.9925,12.3825,0.61,4.93
228,05-DEC-2023,12.9925,13.8825,11.475,13.4575,12.9925,0.47,3.58
229,06-DEC-2023,13.4575,14.0875,12.6875,13.74,13.4575,0.28,2.1
230,07-DEC-2023,13.74,13.74,12.545,12.6725,13.74,-1.07,-7.77
231,08-DEC-2023,12.6725,12.875,12.135,12.47,12.6725,-0.2,-1.6
232,11-DEC-2023,12.47,13.1225,12.2275,12.7575,12.47,0.29,2.31
233,12-DEC-2023,12.7575,12.8675,11.6925,12.7125,12.7575,-0.05,-0.35
234,13-DEC-2023,12.7125,12.8175,11.54,12.065,12.7125,-0.65,-5.09
235,14-DEC-2023,12.065,12.5125,11.0,12.32,12.065,0.26,2.11
236,15-DEC-2023,12.32,13.3425,10.8,13.1275,12.32,0.81,6.55
237,18-DEC-2023,13.1275,14.1175,13.125,13.9,13.1275,0.77,5.88
238,19-DEC-2023,13.9,14.12,13.5525,13.8675,13.9,-0.03,-0.23
239,20-DEC-2023,13.8675,14.87,12.7775,14.45,13.8675,0.58,4.2
240,21-DEC-2023,14.45,15.01,12.2825,13.7575,14.45,-0.69,-4.79
241,22-DEC-2023,13.7575,13.9875,12.225,13.7075,13.7575,-0.05,-0.36
242,26-DEC-2023,13.7075,14.95,13.7075,14.6775,13.7075,0.97,7.08
243,27-DEC-2023,14.6775,15.7325,14.47,15.5575,14.6775,0.88,6.0
244,28-DEC-2023,15.5575,16.47,14.9625,15.14,15.5575,-0.42,-2.68
245,29-DEC-2023,15.14,15.4275,14.3725,14.5025,15.14,-0.64,-4.21
246,01-JAN-2024,14.5025,14.8675,14.3275,14.68,14.5025,0.18,1.22
0,02-JAN-2024,14.68,15.08,14.2425,14.58,14.68,-0.1,-0.68
1,03-JAN-2024,14.58,14.78,14.0225,14.0975,14.58,-0.48,-3.31
2,04-JAN-2024,14.0975,14.2075,13.2125,13.33,14.0975,-0.77,-5.44
3,05-JAN-2024,13.33,13.4675,12.4875,12.63,13.33,-0.7,-5.25
4,08-JAN-2024,12.63,13.595,12.63,13.4625,12.63,0.83,6.59
5,09-JAN-2024,13.4625,13.505,12.775,13.2625,13.4625,-0.2,-1.49
6,10-JAN-2024,13.2625,14.5575,12.81,12.97,13.2625,-0.29,-2.21
7,11-JAN-2024,12.97,13.19,12.63,12.7675,12.97,-0.2,-1.56
8,12-JAN-2024,12.7675,13.285,12.42,13.1,12.7675,0.33,2.6
9,15-JAN-2024,13.1,13.885,11.7875,13.785,13.1,0.69,5.23
10,16-JAN-2024,13.785,14.0425,12.485,13.5725,13.785,-0.21,-1.54
11,17-JAN-2024,13.5725,15.23,12.715,15.08,13.5725,1.51,11.11
12,18-JAN-2024,15.08,15.705,12.98,14.07,15.08,-1.01,-6.7
13,19-JAN-2024,14.07,14.1125,13.6775,13.8775,14.07,-0.19,-1.37
14,20-JAN-2024,13.8775,14.2475,13.0975,13.8025,13.8775,-0.08,-0.54
15,23-JAN-2024,13.8025,15.405,12.195,14.8525,13.8025,1.05,7.61
16,24-JAN-2024,14.8525,15.6475,14.03,14.375,14.8525,-0.48,-3.21
17,25-JAN-2024,14.375,15.3375,13.36,13.865,14.375,-0.51,-3.55
18,29-JAN-2024,13.865,15.8475,13.795,15.68,13.865,1.82,13.09
19,30-JAN-2024,15.68,16.575,14.9875,16.1025,15.68,0.42,2.69
20,31-JAN-2024,16.1025,16.5325,15.8,16.0475,16.1025,-0.06,-0.34
21,01-FEB-2024,16.0475,16.1075,14.36,14.455,16.0475,-1.59,-9.92
22,02-FEB-2024,14.455,15.1325,14.025,14.6975,14.455,0.24,1.68
23,05-FEB-2024,14.6975,16.05,14.6975,15.6175,14.6975,0.92,6.26
24,06-FEB-2024,15.6175,15.9825,15.0875,15.785,15.6175,0.17,1.07
25,07-FEB-2024,15.785,16.0175,14.74,15.505,15.785,-0.28,-1.77
26,08-FEB-2024,15.505,16.0275,15.2425,15.8275,15.505,0.32,2.08
27,09-FEB-2024,15.8275,16.3325,15.265,15.4475,15.8275,-0.38,-2.4
28,12-FEB-2024,15.4475,16.535,15.4475,16.0625,15.4475,0.62,3.98
29,13-FEB-2024,16.0625,16.57,15.7525,15.8075,16.0625,-0.26,-1.59
30,14-FEB-2024,15.8075,16.1975,15.34,15.435,15.8075,-0.37,-2.36
31,15-FEB-2024,15.435,15.6625,15.1125,15.225,15.435,-0.21,-1.36
32,16-FEB-2024,15.225,15.5525,14.9025,15.2225,15.225,0.0,-0.02
33,19-FEB-2024,15.2225,16.1175,13.7,16.0175,15.2225,0.8,5.22
34,20-FEB-2024,16.0175,16.36,14.2125,16.0725,16.0175,0.06,0.34
35,21-FEB-2024,16.0725,16.31,15.68,15.9275,16.0725,-0.15,-0.9
36,22-FEB-2024,15.9275,16.15,15.1325,15.1975,15.9275,-0.73,-4.58
37,23-FEB-2024,15.1975,15.4425,14.84,14.9725,15.1975,-0.23,-1.48
38,26-FEB-2024,14.9725,15.96,13.7575,15.6,14.9725,0.63,4.19
39,27-FEB-2024,15.6,15.9975,15.53,15.7275,15.6,0.13,0.82
40,28-FEB-2024,15.7275,16.74,15.31,16.33,15.7275,0.6,3.83
41,29-FEB-2024,16.33,16.5525,15.37,15.5725,16.33,-0.76,-4.64
42,01-MAR-2024,15.5725,15.6425,15.0,15.235,15.5725,-0.34,-2.17
43,04-MAR-2024,14.9925,15.3025,14.8225,14.9225,14.9925,-0.07,-0.47
44,05-MAR-2024,14.9225,15.165,14.1775,14.38,14.9225,-0.54,-3.64
45,06-MAR-2024,14.38,14.71,13.905,14.295,14.38,-0.09,-0.59
46,07-MAR-2024,14.295,14.4325,13.56,13.6125,14.295,-0.68,-4.77
47,11-MAR-2024,13.6125,14.5525,13.6125,13.995,13.6125,0.38,2.81
48,12-MAR-2024,13.995,14.195,13.5775,13.6375,13.995,-0.36,-2.55
49,13-MAR-2024,13.6375,15.005,13.5325,14.4325,13.6375,0.8,5.83
50,14-MAR-2024,14.4325,14.6825,13.5225,13.6225,14.4325,-0.81,-5.61
51,15-MAR-2024,13.6225,14.3325,13.59,13.69,13.6225,0.07,0.5
52,18-MAR-2024,13.69,14.615,13.69,13.895,13.69,0.21,1.5
53,19-MAR-2024,13.895,14.445,13.875,14.1125,13.895,0.22,1.57
54,20-MAR-2024,14.1125,14.2825,13.085,13.4725,14.1125,-0.64,-4.53
55,21-MAR-2024,13.4725,13.4725,12.3425,12.5125,13.4725,-0.96,-7.13
56,22-MAR-2024,12.5125,13.0475,11.81,12.22,12.5125,-0.29,-2.34
57,26-MAR-2024,12.22,13.1025,12.085,12.82,12.22,0.6,4.91
58,27-MAR-2024,12.82,13.01,12.5325,12.7025,12.82,-0.12,-0.92
59,28-MAR-2024,12.7025,13.18,12.26,12.8325,12.7025,0.13,1.02
60,01-APR-2024,12.8325,13.3575,12.005,12.0825,12.8325,-0.75,-5.84
61,02-APR-2024,12.0825,12.305,11.5975,11.6525,12.0825,-0.43,-3.56
62,03-APR-2024,11.6525,11.8275,11.3125,11.3725,11.6525,-0.28,-2.4
63,04-APR-2024,11.3725,11.8375,10.86,11.22,11.3725,-0.15,-1.34
64,05-APR-2024,11.22,11.6825,11.035,11.3375,11.22,0.12,1.05
65,08-APR-2024,11.3375,11.7425,11.1325,11.61,11.3375,0.27,2.4
66,09-APR-2024,11.61,11.6125,10.6175,11.355,11.61,-0.26,-2.2
67,10-APR-2024,11.355,11.355,10.985,11.1075,11.355,-0.25,-2.18
68,12-APR-2024,11.1075,11.605,11.1075,11.5325,11.1075,0.43,3.83
69,15-APR-2024,11.5325,12.7375,11.3075,12.4675,11.5325,0.94,8.11
70,16-APR-2024,12.4675,12.925,12.34,12.615,12.4675,0.15,1.18
71,18-APR-2024,12.615,13.3875,12.0275,13.04,12.615,0.43,3.37
72,19-APR-2024,13.04,14.4125,11.915,13.4575,13.04,0.42,3.2
73,22-APR-2024,13.4575,13.4575,12.6125,12.7,13.4575,-0.76,-5.63
74,23-APR-2024,12.7,12.7,9.8575,10.195,12.7,-2.51,-19.72
75,24-APR-2024,10.195,11.1325,9.945,10.275,10.195,0.08,0.78
76,25-APR-2024,10.275,11.4575,10.26,10.73,10.275,0.46,4.43
77,26-APR-2024,10.73,11.315,10.5875,10.925,10.73,0.2,1.82
78,29-APR-2024,10.925,12.4875,10.925,12.235,10.925,1.31,11.99
79,30-APR-2024,12.235,13.2125,12.235,12.87,12.235,0.64,5.19
80,02-MAY-2024,12.87,13.9475,12.87,13.445,12.87,0.58,4.47
